236
10
30	 
105	0
32	2
182	1
39	3
183	2
210	2
181	3
77	2
124	1
135	3
200	2
173	2
98	3
85	2
79	2
14	2
109	2
168	3
155	3
138	2
103	2
60	2
57	2
114	2
201	2
104	2
212	2
121	4
151	4
141	3
38 
160	0
45	2
11	2
81	2
221	4
127	2
156	2
41	2
20	2
2	2
67	3
79	3
131	3
207	2
113	2
111	2
36	2
16	2
184	2
94	2
206	3
134	2
12	1
136	3
157	2
39	3
116	3
125	2
128	4
142	2
90	3
169	2
202	2
158	5
19	3
230	2
235	3
52	2	 
31	 
186	0
139	3
3	2
124	2
206	2
95	3
234	2
153	3
227	2
69	2
182	3
66	1
91	3
26	2
23	2
99	3
189	3
166	2
93	2
43	2
129	5
130	2
56	3
194	3
54	2
171	2
225	3
214	2
163	3
205	2
65	2
23	 
132	0
203	2
86	2
89	2
144	3
196	2
40	2
71	3
0	2
146	3
72	3
152	2
209	3
177	3
115	3
145	2
232	3
17	2
95	3
134	1
77	2
172	2
70	2
34	 
125	0
167	2
62	3
159	2
38	3
189	2
75	2
174	2
102	2
190	3
215	2
211	2
47	4
177	2
33	4
61	2
82	4
185	3
110	1
78	4
117	2
120	2
213	2
114	2
42	2
48	1
60	3
224	2
101	2
170	2
37	2
76	2
180	1
160	3
27	 
55	0
199	1
143	2
74	3
112	3
13	2
231	3
63	2
9	2
195	3
100	2
50	3
126	3
18	5
108	2
229	5
118	3
187	2
209	4
177	3
149	4
188	3
148	3
133	2
7	2
227	2
183	2
27	 
106	0
185	2
147	2
92	2
53	3
80	1
6	3
113	2
29	3
200	3
30	3
164	1
3	3
51	1
172	2
197	2
88	4
119	2
136	1
153	2
178	2
133	2
220	2
27	1
223	3
26	2
62	2
32	 
101	0
87	1
21	2
192	2
83	1
233	2
73	2
84	2
64	2
46	2
150	7
228	4
137	3
165	4
200	3
226	3
184	2
222	2
96	2
5	2
232	2
216	2
148	3
154	2
220	2
179	2
69	2
22	2
123	2
34	2
218	2
162	1
23	 
70	0
172	2
181	2
234	4
24	2
216	2
44	5
193	2
198	2
211	3
208	2
140	2
28	2
176	2
161	2
49	4
31	2
58	2
217	4
15	2
97	2
122	2
35	2
18	 
206	0
200	3
150	5
20	3
107	3
60	4
10	3
8	3
1	6
25	3
219	4
59	2
68	3
4	2
204	3
191	2
55	3
175	2
